EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
000019818,PALMER SECOND BAPTIST CHURCH,,1050 THORNDIKE ST,PALMER,MA,01069-1507,3125,03,9,7000,195504,1,10,001000000,5,01,,0,0,06,0,12,,,,,5662
000029215,ST GEORGE CATHEDRAL,,523 E BROADWAY,SOUTH BOSTON,MA,02127-4415,2365,03,9,7000,197210,1,10,001000000,1,01,,0,0,06,0,12,,,,,
000587764,IGLESIA BETHESDA INC,,13 CUMMINGHAM ST,LOWELL,MA,01852-0000,0000,03,3,7000,200401,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
000635913,MINISTERIO APOSTOLICO JESUCRISTO ES EL SENOR INC,,454 ESSEX ST,LAWRENCE,MA,01840-1242,0000,03,3,7000,200401,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
000765634,MERCY CHAPEL INTERNATIONAL,,75 MORTON VILLAGE DR APT 408,MATTAPAN,MA,02126-2433,0000,03,3,7000,200404,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
000841363,AGAPE HOUSE OF PRAYER,,39 GOODALE RD STE 2,MATTAPAN,MA,02126-1527,0000,03,3,1700,200412,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
000852649,BETHANY PRESBYTERIAN CHURCH,,32 HARVARD ST,BROOKLINE,MA,02445-7994,0000,03,3,7000,200504,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
001028397,UNITY IN THE CITY,% CARLOS ANDERSON,PO BOX 471009,BROOKLINE,MA,01302-0000,2062,03,9,2000,197002,1,10,059029000,5,01,,0,0,01,0,12,,,,,
001347537,RESTORATION OF HOPE CHURCH MINISTRIES,,PO BOX 190340,ROXBURY,MA,02119-0006,0000,03,3,7000,202007,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
001689178,SAFE HAVEN RESIDENTIAL SERVICES INC,% FARAH ROMULUS,11 WASHINGTON DR,RANDOLPH,MA,02368-1838,0000,03,3,1270,202508,1,15,000000000,1,01,,0,0,02,0,12,,,,P20,
010011694,MASSACHUSETTS MODERATORS ASSOCIATION INC,% JOHN FALLON,1281,HAVERHILL,MA,01831-0000,0000,03,3,2000,202109,1,16,995408229,5,01,202409,0,0,02,0,09,0,0,0,S19,
010096152,ISLAND HOME CLUB,% J COSSEBOOM,14 DEVEREAUX ST,ARLINGTON,MA,02476-8114,0000,07,3,1000,199807,2,00,319000000,1,01,202412,4,4,01,0,12,143202,121129,99343,,
010210783,KAPPA DELTA PHI NATIONAL AFFILIATED SORORITY INC,% ELIZABETH JASON,999 BOSTON RD,HAVERHILL,MA,01835-8365,9115,07,9,1000,196706,2,00,036279265,5,01,202408,0,0,02,0,08,0,0,0,,KAPPA LAMBDA
010286071,KAPPA DELTA PHI INC,,360 SHIP POND RD,PLYMOUTH,MA,02360-1719,2047,07,6,1000,196911,2,00,059036040,1,01,202308,3,3,02,0,08,93040,39521,39521,,
010321284,THE BIBLE SPEAKS,,27 W CENTRAL ST,NATICK,MA,01760-4501,0000,03,3,7000,197407,1,10,029000000,1,01,,0,0,06,0,12,,,,,
010339164,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,% CYNTHIA PEBENITO,8 BEACON STREET,BOSTON,MA,02108-3722,1381,05,9,3000,197606,2,00,263059264,5,01,202412,0,0,02,0,12,0,0,0,,L1373ME CABA PORTLAND MAINE
010357293,HERITAGE COURT INC,,170 NEWBURY STREET,BOSTON,MA,02116-2873,0000,03,3,1000,197809,1,04,380000000,1,01,202506,5,1,00,1,06,953939,1,,L22Z,
010357303,WILTON HOUSING INC,,170 NEWBURY STREET,BOSTON,MA,02116-2873,0000,03,3,1000,197808,1,04,380000000,1,01,202506,5,1,00,1,06,566597,1,,L22Z,
010359121,GEORGETOWN HISTORICAL SOCIETY,,PO BOX 376,GEORGETOWN,MA,01833-0476,0000,03,3,1280,202411,1,15,060000000,1,01,202412,0,0,02,0,12,0,0,0,A50,
010362622,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,% MITCHELL DUFOUR,8 BEACON STREET,BOSTON,MA,02108-3722,1381,05,9,3000,195708,2,00,263264279,5,01,202412,0,0,02,0,12,0,0,0,,L0220ME CARIBOU ME AREA PUBLIC EMPL
010366493,NEW ENGLAND CHAPTER 8 OF THE NATL ASSOC OF WATCH & CLOCK COLLECTORS,% JOSEPH SEREMETH,54 SCHOOL ST,DEDHAM,MA,02026-4330,0000,07,3,1000,198012,2,00,998000000,1,01,202412,0,0,02,0,12,0,0,0,,
010368364,DAVID BEALE KENYON FUND FOR ENRICH- MENT OF ART & MUSIC DRESDEN SCHOOL,% MARY WALSH,30 MCGREGOR DR,SHERBORN,MA,01770-1116,0000,03,3,1000,198005,1,16,059602000,2,01,202412,0,0,02,0,12,0,0,0,,
010377706,NEW ENGLAND ECONOMIC PROJECT INC,,268 FISKE ST,CARLISLE,MA,01741-1019,0000,06,3,3000,198112,2,00,200123124,1,01,202312,1,1,02,0,12,465,11,11,,G PLESKO E52-325 MIT
010383486,MAINE LIBRARY ASSOCIATION,% EDNA COMSTOCK,55 N MAIN ST APT 49,BELCHERTOWN,MA,01007-8201,0000,03,3,2000,202101,1,16,205123000,1,01,202406,4,3,01,0,06,148759,68742,68742,B70,
010402657,JOHN LIBBY FAMILY ASSOCIATION,% PATRICIA DAVIS,PO BOX 907,TOWNSEND,MA,01469-0907,0000,07,3,1000,198808,0,00,000000000,5,01,202412,0,0,02,0,12,0,0,0,,
010422021,THE FOUNDATION FOR FACES OF CHILDREN,,258 HARVARD STREET 367,BROOKLINE,MA,02446-2904,0000,03,3,1000,198704,1,15,161994000,1,01,202412,5,4,01,0,12,561320,205009,75163,,
010438846,AMERICA EAST,% SHONNA BROWN,451 D STREET 705B,BOSTON,MA,02210-1950,0000,03,3,1000,199401,1,15,123000000,1,01,202406,7,8,01,0,06,8107727,10966161,10966161,N70Z,
010448905,YPO INC,% SANDRA BLOCH,56 LAKEVIEW DR,CENTERVILLE,MA,02632-1417,7096,06,9,2000,198903,2,00,200205000,1,01,202406,6,6,01,0,06,1393563,1119563,1119563,,YPO NEW ENGLAND CHAPTER
010456644,MAINE YANKEE ATOMIC POWER CO EMP WELFARE BENEFIT PL & TR VEBA,% MARCUM LLP,CBIZ ADVISORS LLC 53 STATE ST FL1,BOSTON,MA,02109-0000,0000,09,3,1000,199009,0,00,000000000,1,01,202412,8,8,01,0,12,19271496,11502840,1198108,,
010476223,DALTON BENEFIT ASSOCIATION,% BRENDAN RONAYNE,411 HIGH ST,DALTON,MA,01226-1141,0000,03,3,1000,199307,1,16,994924000,5,01,202412,0,0,02,0,12,0,0,0,,
010478606,SPORTS AND MUSIC CAMP INC,% ANDREW RICE,55 LOWDEN ST,PITTSFIELD,MA,01201-6411,0000,03,3,1000,199412,1,15,995029000,1,01,202412,0,0,02,0,12,0,0,0,N99,
010492851,CHARLEYS STRAYS INC,% SCHREIBER,23 HARRIS ST,WALTHAM,MA,02452-6104,0000,03,3,1000,199510,1,15,913000000,1,01,202509,0,0,02,0,09,0,0,0,D200,
010497802,FELLOWSHIP ALLIANCE CHURCH OF THE CHRISTIAN AND MISSIONARY ALLIANCE,% FELLOWSHIP ALLIANCE CHURCH,PO BOX 288,SOUTH EASTON,MA,02375-0288,2284,03,9,7000,197205,1,10,001000000,5,01,,0,0,06,0,12,,,,,
010501236,SQUIRREL ISLAND HISTORICAL SOCIETY,% JOAN GUILD,285 FULTON ST,MEDFORD,MA,02155-1705,0000,03,3,1000,199612,1,15,995062000,1,01,202507,0,0,02,0,07,0,0,0,A80,
010503038,CHEBEAGUE ISLAND COMMUNITY SAILING SCHOOL,% ROBERT HALPIN TREASURER,192 BOSTON POST RD UNIT 17,SUDBURY,MA,01776-3184,0000,03,3,1000,199512,1,16,995298300,1,01,202503,0,0,02,0,03,0,0,0,N60,
