ppin,name,address,city,state,zip,latitude,longitude,gradeRange,enrollment,phone,type
00000044,HOLY SPIRIT CATHOLIC SCHOOL,601 JAMES I HARRISON JR PKWY E,TUSCALOOSA,AL,35405,33.173709,-87.529118,,392,2055535606,private
00000226,JOHN CARROLL CATHOLIC HIGH SCHOOL,300 LAKESHORE PKWY,BIRMINGHAM,AL,35209,33.443934,-86.832790,,488,2059402400,private
00000237,HOLY FAMILY CRISTO REY CATHOLIC HIGH SCHOOL,PO BOX 19577,BIRMINGHAM,AL,35219,33.487602,-86.829021,,197,2057879937,private
00000306,SACRED HEART CATHOLIC SCHOOL,16 MORTON RD,ANNISTON,AL,36205,33.717914,-85.814418,,115,2562374231,private
00000714,MONTGOMERY CATHOLIC PREPARATORY SCHOOL,5350 VAUGHN RD,MONTGOMERY,AL,36116,32.339910,-86.215811,,764,3342727220,private
00000816,HUNTSVILLE COLLEGE PREPARATORY SCHOOL,4217 9TH AVE SW,HUNTSVILLE,AL,35805,34.714884,-86.625336,,26,2565391772,private
00000871,JOHN T MORGAN ACADEMY,2901 W DALLAS AVE,SELMA,AL,36701,32.389090,-87.076221,,333,3348754464,private
00000882,JEFFERSON CHRISTIAN ACADEMY,1500 HERITAGE PL DR,IRONDALE,AL,35210,33.549380,-86.646301,,179,2059569111,private
00000962,GLENWOOD SCHOOL,5801 SUMMERVILLE RD,SMITHS STATION,AL,36877,32.537112,-85.050104,,627,3342973614,private
00000973,MARS HILL BIBLE SCHOOL,698 COX CREEK PKWY,FLORENCE,AL,35630,34.846211,-87.659380,,506,2567671203,private
00000995,LOWNDES ACADEMY,PO BOX 99,LOWNDESBORO,AL,36752,32.275833,-86.612732,,228,3342783366,private
00001026,ABBEVILLE CHRISTIAN ACADEMY,PO BOX 9,ABBEVILLE,AL,36310,31.577041,-85.260860,,211,3345855100,private
00001321,HOLY COMFORTER EPISCOPAL DAY SCHOOL,156 S 9TH ST,GADSDEN,AL,35901,34.014839,-86.013522,,35,2565469071,private
00001332,THE DONOHO SCHOOL,2501 HENRY RD,ANNISTON,AL,36207,33.654490,-85.793311,,309,2562375477,private
