ncessId,name,address,city,state,zip,latitude,longitude,gradeRange,enrollment,phone,type
010000500871,Albertville High School,402 E McCord Ave,Albertville,AL,35950,34.2622,-86.2049,9-12,1712,(256)894-5000,public
010000600872,Asbury High School,1990 Asbury Rd,Albertville,AL,35951,34.3625,-86.142,6-12,664,(256)878-4068,public
010000600878,Douglas High School,225 Eagle Drive,Douglas,AL,35964,34.178658,-86.319462,9-12,674,(256)593-2810,public
010000600883,Kate D Smith DAR High School,6077 Main St,Grant,AL,35747,34.53375,-86.254153,9-12,394,(256)728-4238,public
010000600987,Marshall Technical School,12312 US Highway 431 S,Guntersville,AL,35976,34.3054,-86.2859,10-12,0,(256)582-5629,public
010000601585,Brindlee Mountain High School,994 Scant City Road,Guntersville,AL,35976,34.3764,-86.4219,6-12,553,(256)753-2800,public
010000700251,Hoover High School,1000 Buccaneer Drive,Hoover,AL,35244,33.3444,-86.8377,9-12,2841,(205)439-1200,public
010000701456,Spain Park High School,4700 Jaguar Drive,Hoover,AL,35242,33.3927,-86.7288,9-12,1503,(205)439-1400,public
010000702487,Riverchase Career Connection Center,853 Willow Oak Drive,Hoover,AL,35244,33.34668,-86.80969,10-12,0,(205)439-1900,public
010000800831,Bob Jones High School,650 Hughes Rd,Madison,AL,35758,34.7192,-86.7425,9-12,1920,(256)772-2547,public
010000802198,James Clemens High School,11306 County Line Road,Madison,AL,35756,34.705886,-86.791802,9-12,2149,(256)216-5313,public
010001102096,Leeds High School,1500 Greenwave Drive,Leeds,AL,35094,33.547574,-86.574182,9-12,619,(205)699-4510,public
010001200874,Boaz High School,907 Brown St,Boaz,AL,35957,34.2118,-86.1639,9-12,714,(256)593-2401,public
010001301682,HewittTrussville High School,6450 Husky Parkway,Trussville,AL,35173,33.665684,-86.590765,9-12,1573,(205)228-4000,public
010003000003,Benjamin Russell High School,225 Heard Blvd,Alexander City,AL,35010,32.9377,-85.9508,9-12,812,(256)234-8611,public
010006000007,Andalusia High School,701 Third St,Andalusia,AL,36420,31.3154,-86.4708,9-12,497,(334)222-7569,public
010009000011,Anniston High School,1301 Woodstock Ave,Anniston,AL,36207,33.6612,-85.82,9-12,466,(256)231-5010,public
010010000028,Arab High School,511 Arabian Dr NE,Arab,AL,35016,34.329247,-86.48857,9-12,779,(256)586-6026,public
010012001472,Athens High School,655 Hwy 31 North,Athens,AL,35611,34.812486,-86.949822,9-12,1173,(256)233-6613,public
010012002417,Athens Renaissance School,405 South Street East,Athens,AL,35611,34.800179,-86.964919,K-12,646,(256)614-3708,public
010018000033,Etowah High School,201 Case Ave,Attalla,AL,35954,33.996,-86.1109,9-12,472,(256)538-8381,public
010018502137,Saraland High School,1115 Industrial Parkway,Saraland,AL,36571,30.796015,-88.100153,9-12,1096,(251)602-8970,public
010018802194,Chickasaw City High School,50 12th Ave,Chickasaw,AL,36611,30.757103,-88.078474,9-12,224,(251)380-8120,public
010018802514,Alabama Destinations Career Academy,50 12th Ave,Chickasaw,AL,36611,30.757103,-88.078474,K-11,1596,(251)452-6452,public
010018902195,Satsuma High School,1 Gator Circle,Satsuma,AL,36572,30.8471,-88.0569,7-12,735,(251)380-8190,public
010019001183,Thompson High School,1921 Warrior Parkway,Alabaster,AL,35007,33.222102,-86.845962,9-12,2203,(205)685-6700,public
010019402399,Pelham High School,2500 Panther Cir,Pelham,AL,35124,33.312895,-86.82121,9-12,1080,(205)624-3701,public
010019502441,Pike Road High School,696 Georgia Washington Rd,Pike Road,AL,36064,32.355003,-86.102682,10-12,611,(334)420-5380,public
010019702432,Acceleration Day and Evening Academy,3725 AIRPORT BLVD,MOBILE,AL,36608,30.672421,-88.138607,9-12,409,(251)301-0050,charter
010019902557,University Charter School  Secondary,134 University Drive,Livingston,AL,35470,32.595845,-88.189756,6-12,292,(205)652-3848,charter
010020202473,Gulf Shores High School,600 East 15th Ave,Gulf Shores,AL,36547,30.269146,-87.675805,9-12,799,(251)968-4747,public
010021000036,Auburn High School,1701 E Samford Avenue,Auburn,AL,36830,32.603878,-85.446081,10-12,2143,(334)887-2120,public
010021000037,Auburn Junior High School,405 S Dean Rd,Auburn,AL,36830,32.596469,-85.463119,8-9,1516,(334)887-4970,public
010021102505,Magic City Acceptance Academy,75 Bagby Dr,Birmingham,AL,35209,33.470676,-86.829899,6-12,338,(205)961-3204,charter
010021302528,Alabama Aerospace and Aviation High School,114 2nd Avenue North,Bessemer,AL,35020,33.397344,-86.956911,9-10,79,(205)538-0702,charter
010024000045,Billingsley High School,2446 County Road 77,Billingsley,AL,36006,32.663571,-86.700747,K-12,572,(205)755-1629,public
010024000046,Marbury High School,2360 Highway 31 North,Deatsville,AL,36022,32.619027,-86.481999,9-12,559,(334)387-1910,public
010024000048,Prattville High School,1315 Upper Kingston Rd,Prattville,AL,36067,32.5005,-86.4716,9-12,1929,(334)365-8804,public
010024000590,Autauga County Technology Center,1301 Upper Kingston Rd,Prattville,AL,36067,32.500629,-86.473537,9-12,0,(334)361-0258,public
010024001408,Autaugaville School,2708 Dutch Bend St,Autaugaville,AL,36003,32.433931,-86.659977,PK-12,269,(334)365-8329,public
010027000024,Robertsdale High School,21630 Highway 59 South,Robertsdale,AL,36567,30.540413,-87.706485,9-12,1450,(251)947-4154,public
010027000057,Elberta High School,13355main Street,Elberta,AL,36530,30.4198,-87.5998,9-12,784,(251)986-8127,public
010027000100,Fairhope High School,18800 Greeno Rd,Fairhope,AL,36532,30.498068,-87.8836,9-12,1629,(251)928-8309,public
010027000664,North Baldwin Center For Technology,505 Dr Martin Luther King Blvd,Bay Minette,AL,36507,30.8656,-87.7837,9-12,0,(251)937-6751,public
010027000665,South Baldwin Center For Technology,19200 Carolina Street,Robertsdale,AL,36567,30.5495,-87.6962,9-12,0,(251)947-5041,public
010027001759,Daphne High School,9300 Champions Way,Daphne,AL,36526,30.6388,-87.8641,9-12,1725,(251)626-8787,public
010027001784,Foley High School,1 Pride Pl,Foley,AL,36535,30.3817,-87.6893,9-12,1578,(251)943-2221,public
010027001810,Baldwin County High School,One Tiger Dr,Bay Minette,AL,36507,30.8937,-87.794,9-12,1039,(251)937-2341,public
010027002073,Spanish Fort High School,One Plaza De Toros,Spanish Fort,AL,36527,30.6887,-87.8541,9-12,1188,(251)621-6629,public
010027002443,Baldwin County Virtual School,605 Hwy 98,Daphne,AL,36526,30.584455,-87.899726,9-12,298,(251)607-5622,public
010030000074,Barbour County High School,165 S Midway,Clayton,AL,36016,31.868278,-85.44613,7-12,317,(334)775-3545,public
010033000087,Bessemer City High School,4950 Premiere Parkway,Bessemer,AL,35022,33.370885,-86.999217,9-12,850,(205)432-3700,public
010033001267,Bessemer Center For Technology,4940 Premiere Parkway,Bessemer,AL,35022,33.370885,-86.999217,9-12,0,(205)432-3805,public
010036000092,Bibb County High School,220 Birmingham Rd,Centreville,AL,35042,32.9472,-87.1426,9-12,471,(205)926-9071,public
010036000099,West Blocton High School,4734 Truman Aldrich Parkway,West Blocton,AL,35184,33.1131,-87.1284,9-12,412,(205)938-9002,public
010036000669,Bibb County Career Academy,17191 Highway 5,West Blocton,AL,35184,33.0518,-87.136,9-12,0,(205)938-7434,public
010039000141,Huffman High SchoolMagnet,900 Springville Rd,Birmingham,AL,35215,33.611201,-86.683271,8-12,1147,(205)231-5000,public
010039000164,JacksonOlin High School,1300 Avenue F Ensley,Birmingham,AL,35218,33.518499,-86.892235,8-12,784,(205)231-6431,public
010039000165,Parker High School,400 Abraham Woods Jr Blvd,Birmingham,AL,35204,33.514596,-86.829301,9-12,826,(205)231-2370,public
010039000176,Ramsay High School,1800 13th Ave S,Birmingham,AL,35205,33.4976,-86.7986,9-12,660,(205)231-7000,public
010039000192,Wenonah High School,2800 Wilson Rd SW,Birmingham,AL,35221,33.45457,-86.884829,9-12,656,(205)231-1675,public
010039000198,Woodlawn High SchoolMagnet,5620 First Ave N,Birmingham,AL,35212,33.5422,-86.7521,9-12,738,(205)231-8000,public
010039001468,George Washington Carver High School,3900 24th St N,Birmingham,AL,35207,33.5584,-86.828,9-12,531,(205)231-3900,public
010039002553,BCS Virtual Academy of Learning,3900 24th Street North,Birmingham,AL,35207,33.5584,-86.828,3-12,287,(205)231-4600,public
010042000203,Appalachian  School,350 County Highway 12,Oneonta,AL,35121,33.8879,-86.3971,PK-12,636,(205)775-1970,public
010042000206,Cleveland High School,71 High School St,Cleveland,AL,35049,33.9932,-86.5736,7-12,362,(205)775-2030,public
010042000208,Hayden High School,125 Atwood Road,Hayden,AL,35079,33.8869,-86.7681,8-12,812,(205)647-0397,public
010042000209,JB Pennington High School,81 College St,Blountsville,AL,35031,34.0858,-86.5888,7-12,519,(205)775-2050,public
010042000210,Locust Fork High School,77 School Rd,Locust Fork,AL,35097,33.9084,-86.6179,7-12,406,(205)681-7846,public
010042000211,Southeastern School,18770 State Highway 75,Remlap,AL,35133,33.830801,-86.58307,PK-12,835,(205)681-3964,public
010042000213,Susan Moore High School,4040 Susan Moore Rd,Blountsville,AL,35031,34.0828,-86.4303,7-12,481,(205)775-2060,public
010042000682,Blount County Career Technical Center,61500 US Highway 231,Cleveland,AL,35049,33.991488,-86.561712,10-12,0,(205)775-2080,public
010045000216,TR Miller High School,1835 Douglas Ave,Brewton,AL,36426,31.1382,-87.0704,9-12,378,(251)867-8430,public
010048000218,Bullock County High School,108 Hardaway Ave,Union Springs,AL,36089,32.129773,-85.722772,9-12,446,(334)651-8264,public
010048000688,Bullock County Career Technical Center,304 Blackmon Ave E,Union Springs,AL,36089,32.142862,-85.712739,8-12,0,(334)625-7306,public
010051000226,Greenville High School,100 Tiger Dr,Greenville,AL,36037,31.837042,-86.65194,9-12,659,(334)382-2608,public
010051000229,McKenzie High School,221 North Garland Road,McKenzie,AL,36456,31.545343,-86.715153,PK-12,449,(334)374-2711,public
010051000690,Butler County Area Vocational School,100 Tiger Drive,Greenville,AL,36037,31.837042,-86.65194,10-12,0,(334)382-2608,public
010051002144,Georgiana School,866 Highway 31 South,Georgiana,AL,36033,31.628096,-86.728948,PK-12,388,(334)376-9130,public
010054000232,Alexandria High School,353 Stadium Dr,Alexandria,AL,36250,33.775146,-85.887066,9-12,513,(256)741-4400,public
010054000240,Ohatchee High School,100 Cherokee Trl,Ohatchee,AL,36271,33.786,-86.0014,7-12,413,(256)741-4900,public
010054000243,Saks High School,4401 Saks Rd,Anniston,AL,36206,33.7022,-85.8367,9-12,340,(256)741-7000,public
010054000247,Weaver High School,917 Clairmont Dr,Weaver,AL,36277,33.7471,-85.8309,7-12,517,(256)741-7201,public
010054000250,White Plains High School,250 White Plains Rd,Anniston,AL,36207,33.747043,-85.686986,9-12,389,(256)741-7800,public
